30-07-2026,13:18:54,28.6692,77.4538,Accident_1785397734.jpg,5
30-07-2026,13:18:55,28.6692,77.4538,Accident_1785397735.jpg,4
30-07-2026,13:18:56,28.6692,77.4538,Accident_1785397736.jpg,3
30-07-2026,13:18:56,28.6692,77.4538,Accident_1785397736.jpg,5
30-07-2026,13:18:57,28.6692,77.4538,Accident_1785397737.jpg,5
30-07-2026,13:18:57,28.6692,77.4538,Accident_1785397737.jpg,4
30-07-2026,13:18:58,28.6692,77.4538,Accident_1785397738.jpg,4
30-07-2026,13:18:59,28.6692,77.4538,Accident_1785397739.jpg,2
30-07-2026,13:18:59,28.6692,77.4538,Accident_1785397739.jpg,2
30-07-2026,13:19:00,28.6692,77.4538,Accident_1785397740.jpg,4
30-07-2026,13:19:01,28.6692,77.4538,Accident_1785397741.jpg,4
01-08-2026,12:17:16,28.6692,77.4538,Accident_1785566836.jpg,2
01-08-2026,12:17:24,28.6692,77.4538,Accident_1785566843.jpg,2
01-08-2026,12:17:24,28.6692,77.4538,Accident_1785566844.jpg,2
